Year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.32120000000000803,0.8524999999999999,-2.0406000000000133,11.178400000000002,2.377800000000007,2.152399999999998,-1.7387999999999921,-2.6983000000000175,3.3740000000000143,-0.43380000000001023,1.8376000000000021,6.78460000000001
2022,1.1421999999999934,1.3563999999999943,8.240200000000005,-1.8252000000000042,2.77,0.17420000000000072,5.193999999999996,4.111400000000012,3.77619999999999,-2.710999999999985,2.325,3.510499999999993
2023,-7.378600000000006,-0.8605999999999949,7.175300000000007,-5.847300000000014,-3.9404999999999926,-0.04979999999999564,9.576299999999991,-4.63539999999999,-3.8668000000000027,-4.549099999999998,6.5875,0.2055999999999949
2024,-0.014400000000005093,-4.639300000000003,-3.176700000000001,5.7640000000000144,5.390199999999986,3.5975,-0.39969999999999345,1.7665999999999984,3.664700000000012,5.743399999999983,8.245700000000015,1.8713999999999942
2025,1.6915999999999987,5.223199999999998,1.3472999999999955,1.5797999999999959,6.229400000000023,-2.8262000000000262,8.838600000000007,-1.8014999999999781,-1.433500000000022,4.186700000000019,-0.8922000000000115,4.1895999999999916
