Year,1,2,3,4,5,6,7,8,9,10,11,12
2021,0.07680000000000291,0.8654999999999926,-4.0777000000000045,5.169000000000015,-1.4896000000000096,1.1640999999999986,3.8862000000000076,2.482999999999993,1.4547000000000117,2.4239999999999964,1.2946999999999935,-3.1115999999999984
2022,4.9813999999999945,2.72880000000001,2.7859000000000016,4.584399999999987,-2.9653999999999905,-3.058799999999992,1.4420999999999913,0.8056999999999971,-1.8354999999999926,4.593299999999999,1.569300000000003,2.9259999999999855
2023,4.228000000000011,-1.4870000000000072,4.34,5.5604000000000084,4.061499999999996,1.6023999999999978,-0.5243000000000029,-2.74369999999999,-0.46950000000000724,-1.5934000000000015,1.416100000000006,4.0245999999999915
2024,2.2292000000000005,-1.1784000000000014,0.2243000000000029,5.297399999999998,1.3534000000000015,1.5088000000000101,7.5,1.7140999999999986,-1.8493999999999868,0.9619999999999709,1.1710000000000218,2.5315999999999983
2025,0.552599999999984,5.394799999999996,1.8010000000000217,5.177700000000004,0.3486999999999898,0.6711999999999898,-1.65369999999999,0.860699999999997,-0.44470000000001164,3.532400000000016,-1.5360000000000218,2.702300000000032
