DATE,BALANCE,EQUITY,DEPOSIT_LOAD,Trade_Profit,Equity,Peak_Equity,Drawdown_USD,Drawdown_Pct,Trade_Return_Pct
2021-01-01 00:00:00,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0
2021-01-05 18:18:00,10021.42,9929.26,0.0,21.420000000000073,10021.42,10021.42,0.0,0.0,0.21420000000000072
2021-01-05 21:44:00,10021.42,10031.41,0.5732,0.0,10021.42,10021.42,0.0,0.0,0.0
2021-01-05 23:00:00,10021.42,10021.42,0.0,0.0,10021.42,10021.42,0.0,0.0,0.0
2021-01-07 17:00:00,10024.21,10024.39,0.5768,2.789999999999054,10024.21,10024.21,0.0,0.0,0.027840365936155298
2021-01-07 17:01:00,10024.21,10024.21,0.0,0.0,10024.21,10024.21,0.0,0.0,0.0
2021-01-08 17:05:00,9924.76,10029.31,0.9767,-99.44999999999891,9924.76,10024.21,-99.44999999999891,-0.9920981304262272,-0.9920981304262272
2021-01-08 17:25:00,9924.76,9944.56,0.0,0.0,9924.76,10024.21,-99.44999999999891,-0.9920981304262272,0.0
2021-01-08 17:26:00,9924.76,9924.76,0.0,0.0,9924.76,10024.21,-99.44999999999891,-0.9920981304262272,0.0
2021-01-13 19:36:00,9950.37,9913.58,0.0,25.610000000000582,9950.37,10024.21,-73.83999999999833,-0.7366166510877,0.25804150427819494
2021-01-13 21:32:00,9950.37,9996.26,0.8423,0.0,9950.37,10024.21,-73.83999999999833,-0.7366166510877,0.0
2021-01-13 23:00:00,9950.37,9950.37,0.0,0.0,9950.37,10024.21,-73.83999999999833,-0.7366166510877,0.0
2021-01-14 17:53:00,9851.59,9984.03,1.4346,-98.78000000000065,9851.59,10024.21,-172.61999999999898,-1.7220309630384738,-0.9927269036226859
2021-01-14 18:57:00,9851.59,9851.81,0.0,0.0,9851.59,10024.21,-172.61999999999898,-1.7220309630384738,0.0
2021-01-14 19:04:00,9851.59,9851.59,0.0,0.0,9851.59,10024.21,-172.61999999999898,-1.7220309630384738,0.0
2021-01-18 17:29:00,9999.15,9783.93,0.0,147.5599999999995,9999.15,10024.21,-25.05999999999949,-0.24999476267954773,1.4978292844099226
2021-01-19 02:36:00,9999.15,10006.97,2.1781,0.0,9999.15,10024.21,-25.05999999999949,-0.24999476267954773,0.0
2021-01-19 02:37:00,9999.15,9999.15,0.0,0.0,9999.15,10024.21,-25.05999999999949,-0.24999476267954773,0.0
2021-01-19 19:41:00,10093.65,9990.33,0.0,94.5,10093.65,10093.65,0.0,0.0,0.9450803318282054
2021-01-19 22:02:00,10093.65,10093.51,0.8972,0.0,10093.65,10093.65,0.0,0.0,0.0
2021-01-19 22:03:00,10093.65,10093.65,0.0,0.0,10093.65,10093.65,0.0,0.0,0.0
2021-01-20 17:09:00,10120.04,10108.86,0.849,26.390000000001237,10120.04,10120.04,0.0,0.0,0.26145150664032574
2021-01-20 17:10:00,10120.04,10120.04,0.0,0.0,10120.04,10120.04,0.0,0.0,0.0
2021-01-21 19:21:00,10213.71,10076.52,0.0,93.66999999999825,10213.71,10213.71,0.0,0.0,0.9255892269200344
2021-01-21 22:49:00,10213.71,10257.74,1.1063,0.0,10213.71,10213.71,0.0,0.0,0.0
2021-01-21 23:00:00,10213.71,10213.71,0.0,0.0,10213.71,10213.71,0.0,0.0,0.0
2021-01-22 17:00:00,10113.07,10216.91,1.0492,-100.63999999999942,10113.07,10213.71,-100.63999999999942,-0.9853422507590233,-0.9853422507590233
2021-01-22 17:37:00,10113.07,10124.59,0.0,0.0,10113.07,10213.71,-100.63999999999942,-0.9853422507590233,0.0
2021-01-22 17:38:00,10113.07,10113.07,0.0,0.0,10113.07,10213.71,-100.63999999999942,-0.9853422507590233,0.0
2021-01-26 18:06:00,10082.47,10141.15,0.7998,-30.600000000000364,10082.47,10213.71,-131.23999999999978,-1.2849395567330557,-0.3025787421623737
2021-01-26 18:59:00,10082.47,10047.43,0.0,0.0,10082.47,10213.71,-131.23999999999978,-1.2849395567330557,0.0
2021-01-26 23:00:00,10082.47,10082.47,0.0,0.0,10082.47,10213.71,-131.23999999999978,-1.2849395567330557,0.0
2021-01-28 17:17:00,10102.39,10094.55,0.5254,19.920000000000073,10102.39,10213.71,-111.31999999999971,-1.089907585000942,0.1975706349733753
2021-01-28 17:18:00,10102.39,10102.39,0.0,0.0,10102.39,10213.71,-111.31999999999971,-1.089907585000942,0.0
2021-01-29 17:31:00,10007.68,10119.47,0.4547,-94.70999999999913,10007.68,10213.71,-206.02999999999884,-2.017190619275453,-0.9375009279982176
2021-01-29 18:20:00,10007.68,10012.09,0.0,0.0,10007.68,10213.71,-206.02999999999884,-2.017190619275453,0.0
2021-01-29 18:22:00,10007.68,10007.68,0.0,0.0,10007.68,10213.71,-206.02999999999884,-2.017190619275453,0.0
2021-02-02 17:29:00,10084.64,9955.55,0.0,76.95999999999913,10084.64,10213.71,-129.0699999999997,-1.2636936039891453,0.769009400780192
2021-02-02 20:44:00,10084.64,10078.79,0.8665,0.0,10084.64,10213.71,-129.0699999999997,-1.2636936039891453,0.0
2021-02-02 20:45:00,10084.64,10084.64,0.0,0.0,10084.64,10213.71,-129.0699999999997,-1.2636936039891453,0.0
2021-02-04 19:51:00,10187.09,10067.99,0.0,102.45000000000073,10187.09,10213.71,-26.61999999999898,-0.260630074674129,1.0159014104618582
2021-02-04 22:59:00,10187.09,10190.24,0.9929,0.0,10187.09,10213.71,-26.61999999999898,-0.260630074674129,0.0
2021-02-04 23:00:00,10187.09,10187.09,0.0,0.0,10187.09,10213.71,-26.61999999999898,-0.260630074674129,0.0
2021-02-05 20:19:00,10192.36,10262.06,1.1265,5.270000000000437,10192.36,10213.71,-21.349999999998545,-0.20903276086748643,0.05173214333043525
