DATE,Profit_Monthly_USD,Max_DD_Monthly_Pct,Max_DD_Monthly_USD,Equity_End,Equity_Start,Return_Monthly_Pct_Dynamic,Year,Month,Month_Name
2023-01-31,422.8000000000011,-1.5187881233365998,-196.47999999999956,13292.43,12869.63,3.2852537330133122,2023,1,Jan
2023-02-28,-148.70000000000073,-1.8683947438236128,-249.3100000000013,13143.73,13292.43,-1.1186818362030173,2023,2,Feb
2023-03-31,434.0,-1.4986471426102406,-201.17000000000007,13577.73,13143.73,3.3019546201877246,2023,3,Mar
2023-04-30,556.0400000000009,-1.8316091333775275,-249.47999999999956,14133.77,13577.73,4.095235359666165,2023,4,Apr
2023-05-31,406.14999999999964,-2.1377877240113548,-302.14999999999964,14539.92,14133.77,2.8736140463584707,2023,5,May
2023-06-30,160.23999999999978,-1.798315532352441,-269.15999999999985,14700.16,14539.92,1.1020693373828727,2023,6,Jun
2023-07-31,-52.43000000000029,-2.4550788583676253,-367.46000000000095,14647.73,14700.16,-0.3566627846227544,2023,7,Jul
2023-08-31,-274.369999999999,-4.12792119374585,-617.8400000000001,14373.36,14647.73,-1.8731230026768586,2023,8,Aug
2023-09-30,-46.95000000000073,-6.8850577323692805,-1030.5100000000002,14326.41,14373.36,-0.32664596169580895,2023,9,Sep
2023-10-31,-159.34000000000015,-5.367085935109374,-803.3099999999995,14167.07,14326.41,-1.1122116426934603,2023,10,Oct
2023-11-30,141.61000000000058,-4.968885586884516,-743.710000000001,14308.68,14167.07,0.9995715416102313,2023,11,Nov
2023-12-31,402.4599999999991,-5.1437329545530535,-769.880000000001,14711.14,14308.68,2.8126983062029423,2023,12,Dec
2024-01-31,222.92000000000007,-3.144379696058224,-470.630000000001,14934.06,14711.14,1.5153142448511814,2024,1,Jan
2024-02-29,-117.84000000000015,-2.933060445809469,-447.7000000000007,14816.22,14934.06,-0.7890687462083329,2024,2,Feb
2024-03-31,22.43000000000029,-3.6410699217501166,-555.7700000000004,14838.65,14816.22,0.15138814083484378,2024,3,Mar
2024-04-30,529.7399999999998,-3.4557964140273256,-527.4899999999998,15368.39,14838.65,3.5700013141357188,2024,4,Apr
2024-05-31,135.34000000000015,-1.2964923456523423,-199.25,15503.73,15368.39,0.8806387656742193,2024,5,May
2024-06-30,150.88000000000102,-2.490949589274546,-399.90999999999985,15654.61,15503.73,0.9731851625383118,2024,6,Jun
2024-07-31,750.0,-2.2184406634393294,-356.15999999999985,16404.61,15654.61,4.790921013043442,2024,7,Jul
2024-08-31,171.40999999999985,-1.2122145968935132,-201.40000000000146,16576.02,16404.61,1.0448892110205599,2024,8,Aug
2024-09-30,-184.9399999999987,-2.7398787791586403,-457.0199999999986,16391.08,16576.02,-1.115708113286535,2024,9,Sep
2024-10-31,96.19999999999709,-2.848150213125663,-475.0799999999999,16487.28,16391.08,0.5869045846887275,2024,10,Oct
2024-11-30,117.10000000000218,-1.4031522214828227,-234.04999999999927,16604.38,16487.28,0.7102445036416085,2024,11,Nov
2024-12-31,253.15999999999985,-2.077284120523728,-350.47999999999956,16857.54,16604.38,1.5246579516970813,2024,12,Dec
2025-01-31,55.2599999999984,-1.0294552581995096,-173.6899999999987,16912.8,16857.54,0.3278058364387591,2025,1,Jan
2025-02-28,539.4799999999996,-1.9788037806294148,-336.5499999999993,17452.28,16912.8,3.189773426044177,2025,2,Feb
2025-03-31,180.10000000000218,-1.6830560186918146,-296.7800000000025,17632.38,17452.28,1.0319568560669563,2025,3,Mar
2025-04-30,517.7700000000004,-0.5875103405196509,-104.40000000000146,18150.15,17632.38,2.9364725578736417,2025,4,Apr
2025-05-31,34.86999999999898,-1.4355081644526853,-264.0,18185.02,18150.15,0.19211962435571595,2025,5,May
2025-06-30,67.11999999999898,-1.5891184131109743,-292.25,18252.14,18185.02,0.36909500237007703,2025,6,Jun
2025-07-31,-165.36999999999898,-1.6526287743261554,-303.9300000000003,18086.77,18252.14,-0.9060307448879911,2025,7,Jul
2025-08-31,86.06999999999971,-2.0620204777414735,-379.22000000000116,18172.84,18086.77,0.47587269589871334,2025,8,Aug
2025-09-30,-44.470000000001164,-2.828331711136615,-520.1500000000015,18128.37,18172.84,-0.24470583574169566,2025,9,Sep
2025-10-31,353.2400000000016,-1.0651168218545737,-198.97000000000116,18481.61,18128.37,1.9485480492730543,2025,10,Oct
2025-11-30,-153.60000000000218,-1.887361099066535,-352.57000000000335,18328.01,18481.61,-0.8310964250409038,2025,11,Nov
2025-12-31,270.2300000000032,-2.8652215295242525,-535.2400000000016,18598.24,18328.01,1.4744099332115337,2025,12,Dec
