Strategy,Initial_Capital,Final_Equity,Total_Return_USD,Total_Return_Pct,Maximum_Drawdown_Pct,Maximum_Drawdown_USD,Win_Rate_Pct,Profit_Factor,Recovery_Factor,Number_of_Trades
euro_induccio,10000.0,30004.54,20004.54,200.0454,-11.084772782335815,-1858.869999999999,17.810026385224276,1.341957364175446,10.761667034273517,3790
us_30_londres_breakout,10000.0,24000.0,14000.0,140.0,-10.236220472440944,-1700.0,13.125189451348893,1.1928374655647382,8.235294117647058,3299
usdjpy_breakout,10000.0,23300.38,13300.380000000001,133.0038,-9.050262945434913,-1623.1899999999987,15.96169193934557,1.244037400874106,8.193976059487806,3759
dax_breakout,10000.0,19659.37,9659.369999999999,96.5937,-12.30542440402167,-1868.1800000000003,16.20142309797482,1.223984975795987,5.170470725518953,3654
nasdaq_range_breakout_trailingstop,10000.0,18598.24,8598.240000000002,85.98240000000001,-7.607365677396341,-1030.5100000000002,18.323353293413174,1.2634207405414892,8.343674491271312,2505
gold_buy_friday,10000.0,17738.62,7738.619999999999,77.38619999999999,-7.383033682595119,-892.9099999999999,13.94736842105263,1.556201458456417,8.666741328913329,760
