DATE,BALANCE,EQUITY,DEPOSIT_LOAD,Trade_Profit,Equity,Peak_Equity,Drawdown_USD,Drawdown_Pct,Trade_Return_Pct
2021-01-01 00:00:00,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0
2021-01-05 16:40:00,9900.0,10158.2,2.9842,-100.0,9900.0,10000.0,-100.0,-1.0,-1.0
2021-01-05 17:18:00,9900.0,9918.6,0.0,0.0,9900.0,10000.0,-100.0,-1.0,0.0
2021-01-05 17:19:00,9900.0,9900.0,0.0,0.0,9900.0,10000.0,-100.0,-1.0,0.0
2021-01-06 16:56:00,10100.0,10097.2,3.0234,200.0,10100.0,10100.0,0.0,0.0,2.0202020202020203
2021-01-06 17:00:00,10100.0,10100.0,0.0,0.0,10100.0,10100.0,0.0,0.0,0.0
2021-01-07 17:02:00,10300.0,10075.2,0.0,200.0,10300.0,10300.0,0.0,0.0,1.9801980198019802
2021-01-07 17:31:00,10300.0,10295.4,3.0138,0.0,10300.0,10300.0,0.0,0.0,0.0
2021-01-07 17:32:00,10300.0,10300.0,0.0,0.0,10300.0,10300.0,0.0,0.0,0.0
2021-01-08 16:33:00,10200.0,10301.0,3.0171,-100.0,10200.0,10300.0,-100.0,-0.9708737864077669,-0.9708737864077669
2021-01-08 16:35:00,10200.0,10205.0,0.0,0.0,10200.0,10300.0,-100.0,-0.9708737864077669,0.0
2021-01-08 16:36:00,10200.0,10200.0,0.0,0.0,10200.0,10300.0,-100.0,-0.9708737864077669,0.0
2021-01-11 17:15:00,10100.0,10100.2,0.0,-100.0,10100.0,10300.0,-200.0,-1.9417475728155338,-0.9803921568627451
2021-01-11 17:16:00,10100.0,10100.0,0.0,0.0,10100.0,10300.0,-200.0,-1.9417475728155338,0.0
2021-01-12 16:37:00,10000.0,10236.0,3.0275,-100.0,10000.0,10300.0,-300.0,-2.912621359223301,-0.9900990099009901
2021-01-12 17:11:00,10000.0,10009.0,0.0,0.0,10000.0,10300.0,-300.0,-2.912621359223301,0.0
2021-01-12 17:17:00,10000.0,10000.0,0.0,0.0,10000.0,10300.0,-300.0,-2.912621359223301,0.0
2021-01-14 16:40:00,9900.0,10071.2,3.0969,-100.0,9900.0,10300.0,-400.0,-3.8834951456310676,-1.0
2021-01-14 17:37:00,9900.0,9901.2,0.0,0.0,9900.0,10300.0,-400.0,-3.8834951456310676,0.0
2021-01-14 17:38:00,9900.0,9900.0,0.0,0.0,9900.0,10300.0,-400.0,-3.8834951456310676,0.0
2021-01-15 16:37:00,9800.0,9975.0,3.0885,-100.0,9800.0,10300.0,-500.0,-4.854368932038835,-1.0101010101010102
2021-01-15 16:43:00,9800.0,9812.0,0.0,0.0,9800.0,10300.0,-500.0,-4.854368932038835,0.0
