DATE,BALANCE,EQUITY,DEPOSIT_LOAD,Trade_Profit,Equity,Peak_Equity,Drawdown_USD,Drawdown_Pct,Trade_Return_Pct
2021-01-01 00:00:00,10000.0,10000.0,0.0,0.0,10000.0,10000.0,0.0,0.0,0.0
2021-01-04 11:39:00,9925.49,10064.59,1.5401,-74.51000000000022,9925.49,10000.0,-74.51000000000022,-0.7451000000000022,-0.7451000000000022
2021-01-04 17:45:00,9925.49,9901.23,0.0,0.0,9925.49,10000.0,-74.51000000000022,-0.7451000000000022,0.0
2021-01-04 20:00:00,9925.49,9925.49,0.0,0.0,9925.49,10000.0,-74.51000000000022,-0.7451000000000022,0.0
2021-01-05 09:10:00,10071.55,9913.17,0.0,146.0599999999995,10071.55,10071.55,0.0,0.0,1.4715646280435475
2021-01-05 19:11:00,10071.55,10092.22,2.3285,0.0,10071.55,10071.55,0.0,0.0,0.0
2021-01-05 20:00:00,10071.55,10071.55,0.0,0.0,10071.55,10071.55,0.0,0.0,0.0
2021-01-06 13:43:00,10186.63,10025.46,0.0,115.07999999999993,10186.63,10186.63,0.0,0.0,1.142624521548321
2021-01-06 17:54:00,10186.63,10271.14,1.8012,0.0,10186.63,10186.63,0.0,0.0,0.0
2021-01-06 20:00:00,10186.63,10186.63,0.0,0.0,10186.63,10186.63,0.0,0.0,0.0
2021-01-07 08:32:00,10398.22,10161.87,0.0,211.59000000000015,10398.22,10398.22,0.0,0.0,2.0771344399472658
2021-01-07 19:29:00,10398.22,10423.65,1.6789,0.0,10398.22,10398.22,0.0,0.0,0.0
2021-01-07 20:00:00,10398.22,10398.22,0.0,0.0,10398.22,10398.22,0.0,0.0,0.0
2021-01-08 10:13:00,10293.61,10435.78,2.204,-104.60999999999876,10293.61,10398.22,-104.60999999999876,-1.0060375718151642,-1.0060375718151642
2021-01-08 14:30:00,10293.61,10301.16,0.0,0.0,10293.61,10398.22,-104.60999999999876,-1.0060375718151642,0.0
2021-01-08 15:30:00,10293.61,10293.61,0.0,0.0,10293.61,10398.22,-104.60999999999876,-1.0060375718151642,0.0
2021-01-11 16:55:00,10265.63,10381.06,2.6491,-27.980000000001382,10265.63,10398.22,-132.59000000000015,-1.2751220882035594,-0.27181911885141735
2021-01-11 19:10:00,10265.63,10210.11,0.0,0.0,10265.63,10398.22,-132.59000000000015,-1.2751220882035594,0.0
2021-01-11 20:00:00,10265.63,10265.63,0.0,0.0,10265.63,10398.22,-132.59000000000015,-1.2751220882035594,0.0
