DATE,Profit_Monthly_USD,Max_DD_Monthly_Pct,Max_DD_Monthly_USD,Equity_End,Equity_Start,Return_Monthly_Pct_Dynamic,Year,Month,Month_Name
2021-01-31,186.23999999999978,-3.8125756139031366,-396.4399999999987,10186.24,10000.0,1.8623999999999978,2021,1,Jan
2021-02-28,244.51000000000022,-4.742970881222434,-501.60000000000036,10430.75,10186.24,2.400395042724305,2021,2,Feb
2021-03-31,956.3099999999995,-2.1702684941351165,-229.52000000000044,11387.06,10430.75,9.168180619802023,2021,3,Mar
2021-04-30,15.590000000000146,-3.481702440246731,-405.71999999999935,11402.65,11387.06,0.1369097905868604,2021,4,Apr
2021-05-31,40.3700000000008,-5.706895782344686,-665.0200000000004,11443.02,11402.65,0.3540405081275037,2021,5,May
2021-06-30,228.3099999999995,-5.117849387888831,-629.5400000000009,11671.33,11443.02,1.9951900809401668,2021,6,Jun
2021-07-31,415.7000000000007,-4.224578383903632,-524.4699999999993,12087.03,11671.33,3.561719187102076,2021,7,Jul
2021-08-31,352.8899999999994,-4.007336446302094,-497.5,12439.92,12087.03,2.919575776679626,2021,8,Aug
2021-09-30,295.5100000000002,-4.097260874567394,-527.0699999999997,12735.43,12439.92,2.3754975916243852,2021,9,Sep
2021-10-31,229.8099999999995,-4.57221794290367,-591.7999999999993,12965.24,12735.43,1.8044934485918378,2021,10,Oct
2021-11-30,523.0,-2.868747512579794,-371.9400000000005,13488.24,12965.24,4.0338628517482125,2021,11,Nov
2021-12-31,85.96000000000095,-4.985898827423001,-672.5100000000002,13574.2,13488.24,0.6372958962770603,2021,12,Dec
2022-01-31,82.71999999999935,-3.1510474347466193,-432.47999999999956,13656.92,13574.2,0.6093913453463139,2022,1,Jan
2022-02-28,78.81999999999971,-3.668853572793762,-517.3299999999999,13735.74,13656.92,0.5771433090330741,2022,2,Feb
2022-03-31,674.0400000000009,-2.243097629248144,-316.2900000000009,14409.78,13735.74,4.907198301656852,2022,3,Mar
2022-04-30,84.86999999999898,-2.7326787329574773,-399.97999999999956,14494.65,14409.78,0.5889749878207646,2022,4,Apr
