DATE,Profit_Monthly_USD,Max_DD_Monthly_Pct,Max_DD_Monthly_USD,Equity_End,Equity_Start,Return_Monthly_Pct_Dynamic,Year,Month,Month_Name
2021-01-31,9.680000000000291,-3.0028000000000064,-300.28000000000065,10009.68,10000.0,0.09680000000000291,2021,1,Jan
2021-02-28,-101.07999999999993,-2.942881994781101,-300.4400000000005,9908.6,10009.68,-1.0098224918279097,2021,2,Feb
2021-03-31,147.1999999999989,-3.1397663247474874,-320.5400000000009,10055.8,9908.6,1.4855781846072997,2021,3,Mar
2021-04-30,-119.55999999999949,-2.6721415529765884,-272.8000000000011,9936.24,10055.8,-1.1889655721076344,2021,4,Apr
2021-05-31,488.0500000000011,-0.937663927259994,-98.66999999999825,10424.29,9936.24,4.911817749973844,2021,5,May
2021-06-30,151.02999999999884,-2.801873237188,-294.8399999999983,10575.32,10424.29,1.4488276899433805,2021,6,Jun
2021-07-31,-81.89999999999964,-2.8351050038890357,-306.1800000000003,10493.42,10575.32,-0.7744446503746424,2021,7,Jul
2021-08-31,115.5,-3.7710655950220398,-407.2600000000002,10608.92,10493.42,1.1006897655864343,2021,8,Aug
2021-09-30,194.45999999999913,-1.2213113702549163,-133.28000000000065,10803.38,10608.92,1.8329858270210269,2021,9,Sep
2021-10-31,454.72000000000116,-0.900742673625054,-100.79999999999927,11258.1,10803.38,4.20905309264324,2021,10,Oct
2021-11-30,408.6999999999989,-1.67348669014024,-193.4400000000005,11666.8,11258.1,3.630275090823486,2021,11,Nov
2021-12-31,427.28000000000065,-0.332641167523649,-39.76000000000022,12094.08,11666.8,3.6623581444783544,2021,12,Dec
2022-01-31,-378.1399999999994,-3.126653701645759,-378.1399999999994,11715.94,12094.08,-3.126653701645759,2022,1,Jan
2022-02-28,7.93999999999869,-3.9624345134148227,-479.21999999999935,11723.88,11715.94,0.06777091722899477,2022,2,Feb
2022-03-31,-4.679999999998472,-3.099698364819806,-374.8799999999992,11719.2,11723.88,-0.039918525266366356,2022,3,Mar
2022-04-30,239.1999999999989,-3.9327505688733595,-475.6299999999992,11958.4,11719.2,2.041094955287041,2022,4,Apr
2022-05-31,-277.25,-3.6249966925967074,-438.40999999999985,11681.15,11958.4,-2.318453973775756,2022,5,May
2022-06-30,-305.0,-5.9362101127163065,-717.9300000000003,11376.15,11681.15,-2.6110442893037074,2022,6,Jun
2022-07-31,218.59000000000015,-7.383033682595119,-892.9099999999999,11594.74,11376.15,1.9214760705511105,2022,7,Jul
2022-08-31,-109.19999999999891,-5.031717997565743,-608.539999999999,11485.54,11594.74,-0.9418063708198624,2022,8,Aug
2022-09-30,178.34999999999854,-3.5570295549558173,-430.1900000000005,11663.89,11485.54,1.5528220701856295,2022,9,Sep
2022-10-31,-400.0499999999993,-6.864846271895007,-830.2399999999998,11263.84,11663.89,-3.429816296278508,2022,10,Oct
2022-11-30,316.64999999999964,-4.437625681325082,-536.6900000000005,11580.49,11263.84,2.8112082557990847,2022,11,Nov
2022-12-31,346.0799999999999,-5.081246361856385,-614.5300000000007,11926.57,11580.49,2.988474580954691,2022,12,Dec
2023-01-31,403.14999999999964,-1.603900819587105,-200.98000000000138,12329.72,11926.57,3.380267755104776,2023,1,Jan
2023-02-28,-400.97999999999956,-4.803881666626772,-601.960000000001,11928.74,12329.72,-3.252141978893272,2023,2,Feb
2023-03-31,618.7900000000009,-3.0643140447062125,-383.9800000000014,12547.53,11928.74,5.187387771047075,2023,3,Mar
2023-04-30,-297.5100000000002,-3.9522976925067224,-504.0799999999999,12250.02,12547.53,-2.3710642652378615,2023,4,Apr
2023-05-31,190.71999999999935,-5.48215867838578,-699.2000000000007,12440.74,12250.02,1.556895417313599,2023,5,May
2023-06-30,210.86000000000058,-4.4251652409813405,-564.3900000000012,12651.6,12440.74,1.694915254237293,2023,6,Jun
2023-07-31,255.3199999999997,-1.5800991828457769,-204.61999999999898,12906.92,12651.6,2.018084669132756,2023,7,Jul
2023-08-31,-194.21999999999935,-1.8310679221796053,-237.11999999999898,12712.7,12906.92,-1.5047741831513588,2023,8,Aug
2023-09-30,114.26999999999862,-1.8631919208143344,-241.27999999999884,12826.97,12712.7,0.8988649146129352,2023,9,Sep
2023-10-31,394.40999999999985,-1.7367808973406569,-224.90999999999985,13221.38,12826.97,3.0748493213907873,2023,10,Oct
